Date,New cases (HUC),Deaths (HUC),Recovered (HUC),Suspects,New cases (datahub),Recovered (datahub),Deaths (datahub),New cases (OWD),Recovered (OWD),Deaths (OWD),New cases (DGE),NC,Recovered (DGE),Deaths (DGE),AcumulatedRecovered,Cases,Deaths,,,,,,,,Tested people
2020-02-28,1,0,0,0,0,0,0,1,0,0,4,4,0,0,0,4,0,,,,,,,,
2020-02-29,3,0,0,0,3,0,0,3,0,0,2,2,0,0,0,2,0,,,,,,,,
2020-03-01,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,,,,,,,,
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-03-03,0,0,1,0,0,1,0,0,1,0,2,2,1,0,1,2,0,,,,,,,,
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
2020-03-05,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,,,,,,,,
2020-03-06,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,,,,,,,,
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
2020-03-08,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,,,,,,,,
2020-03-09,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,4,0,,,,,,,,
2020-03-10,0,0,3,1,0,3,0,0,3,0,2,1,3,0,4,2,0,,,,,,,,
2020-03-11,1,0,0,0,1,0,0,1,0,0,9,9,0,0,4,9,0,,,,,,,,
2020-03-12,4,0,0,0,4,0,0,4,0,0,27,27,0,0,4,27,0,,,,,,,,
2020-03-13,14,0,0,0,14,0,0,14,0,0,27,28,0,0,4,28,0,,,,,,,,
2020-03-14,15,0,0,0,15,0,0,15,0,0,60,60,0,0,4,60,0,,,,,,,,
2020-03-15,12,0,0,1,12,0,0,12,0,0,49,49,0,0,4,49,0,,,,,,,,
2020-03-16,29,0,0,0,29,0,0,29,0,0,36,36,0,0,4,36,0,,,,,,,,
2020-03-17,11,0,0,0,11,0,0,11,0,0,68,68,0,0,4,68,0,,,,,,,,
2020-03-18,25,0,0,0,25,0,0,25,0,0,89,91,0,0,4,91,0,,,,,,,,
2020-03-19,46,1,0,0,46,0,1,46,0,1,97,99,0,2,4,99,2,,,,,,,,
2020-03-20,39,1,0,0,39,0,1,39,0,1,105,107,0,0,4,107,0,,,,,,,,
2020-03-21,48,0,0,1,48,0,0,48,0,0,98,100,0,1,4,100,1,,,,,,,,
2020-03-22,65,1,0,0,65,0,1,65,0,1,66,66,0,0,4,66,0,,,,,,,,
2020-03-23,51,1,0,0,51,0,1,51,0,1,47,48,0,1,4,48,1,,,,,,,,
2020-03-24,38,1,0,1,38,0,1,38,0,1,129,130,0,1,4,129,1,,,,,,,,
2020-03-25,70,1,0,1,70,0,1,70,0,1,160,164,0,2,4,164,2,,,,,,,,
2020-03-26,110,2,0,2,110,0,2,110,0,2,133,141,0,2,4,141,2,,,,,,,,
2020-03-27,132,4,0,1,132,0,4,132,0,4,164,173,0,8,4,174,8,,,,,,,,
2020-03-28,131,4,0,2,131,0,4,131,0,4,203,211,0,6,4,210,6,,,,,,,,
2020-03-29,145,4,0,3,145,0,4,145,0,4,147,158,0,13,4,158,13,,,,,,,,
2020-03-30,101,8,31,3,101,31,8,101,31,8,140,142,31,8,35,142,8,,,,,,,,
2020-03-31,121,1,0,6,121,0,1,121,0,1,294,306,0,11,35,305,12,,,,,,,,
2020-04-01,163,8,0,9,163,0,8,163,0,8,268,277,0,21,35,276,21,,,,,,,,
2020-04-02,132,13,0,10,132,0,13,132,0,13,306,319,0,18,35,317,19,,,,,,,,
2020-04-03,178,10,598,8,178,598,10,178,598,10,277,300,598,25,633,299,25,,,,,,,,
2020-04-04,202,19,0,11,202,0,19,202,0,19,321,335,0,31,633,337,31,,,,,,,,
2020-04-05,253,15,0,2,253,0,15,253,0,15,200,218,0,30,633,218,31,,,,,,,,
2020-04-06,296,31,0,4,296,0,31,296,0,31,208,224,0,25,633,223,27,,,,,,,,
2020-04-07,346,16,0,3,346,0,16,346,0,16,509,535,0,52,633,530,53,,,,,,,,
2020-04-08,396,33,0,10,396,0,33,396,0,33,427,450,0,52,633,447,55,,,,,,,,
2020-04-09,260,20,0,16,260,0,20,260,0,20,506,514,0,43,633,514,46,,,,,,,,
2020-04-10,403,39,0,5,403,0,39,403,0,39,383,405,0,45,633,406,50,,,,,,,,
2020-04-11,375,40,0,12,375,0,40,375,0,40,451,486,0,56,633,484,63,,,,,,,,
2020-04-12,442,23,1139,10,442,1139,23,442,1139,23,376,405,1139,61,1772,404,66,,,,,,,,
2020-04-13,353,36,71,9,353,71,36,353,71,36,398,428,71,59,1843,428,67,,,,,,,,
2020-04-14,385,74,121,16,385,121,74,385,121,74,756,843,121,63,1964,839,75,,,,,,,,
2020-04-15,448,43,161,16,448,161,43,448,161,43,772,840,161,73,2125,837,83,,,,,,,,
2020-04-16,450,37,0,16,450,0,37,450,0,37,800,860,0,75,2125,856,86,,,,,,,,
